keyword,video_id,comment_id,author,author_channel_url,text,like_count,published_at,updated_at,extracted_at
pfizer,2XqdVlIx3i4,Ugw4b41r-lzyNY53N_14AaABAg,@Behoedhetdenkvermogen,http://www.youtube.com/@Behoedhetdenkvermogen,Jeremia 23:1 Wehe den Hirten die die Schafe meiner Weide umbringen und zerstreuen‼️,7,2026-05-12T11:33:32Z,2026-05-12T11:33:32Z,2026-05-13T10:50:57.452564+00:00
pfizer,2XqdVlIx3i4,UgwVokOSshPTWc6ny5B4AaABAg,@DG.Banner,http://www.youtube.com/@DG.Banner,"Ich war von Anfang an skeptisch und hatte mich nicht impfen lassen, Gott sei Dank!
Hoffentlich wachen die Menschen auf , das es nicht nochmal passieren kann!",0,2026-05-13T09:59:59Z,2026-05-13T10:00:45Z,2026-05-13T10:50:57.452564+00:00
pfizer,2XqdVlIx3i4,Ugykj4qIQ80XY8FU0Ch4AaABAg,@oelbohrer,http://www.youtube.com/@oelbohrer,"Jahrzehnte lang wurden diese PCR-Tests per Wangen-Innenabstrich durch geführt. (Z.B. DNA Feststellung bei der Verbrecherjagd) 
Plötzlich muss man das Staberl aber durch die Nase bis knapp an die Schädelbasis führen... warum? 
(Am Ende ging es dann doch wieder per Wangen-Innenabstrich) 
Das war Teil des Spiels, um ordentlich Eindruck zu hinterlassen, reine Schikane.",11,2026-05-12T10:56:47Z,2026-05-12T10:57:24Z,2026-05-13T10:50:57.452564+00:00
pfizer,2XqdVlIx3i4,UgzgyxXMtDYJZo-CxOZ4AaABAg,@VanessaM-v5f,http://www.youtube.com/@VanessaM-v5f,🤔🤔👍👍💪🏼💪🏼,4,2026-05-12T10:17:35Z,2026-05-12T10:17:35Z,2026-05-13T10:50:57.452564+00:00
pfizer,2XqdVlIx3i4,UgzxUlrc7Y3EBJZoYfh4AaABAg,@stefanschwede5861,http://www.youtube.com/@stefanschwede5861,sehr gut^^,3,2026-05-12T10:11:14Z,2026-05-12T10:11:14Z,2026-05-13T10:50:57.452564+00:00
pfizer,2XqdVlIx3i4,Ugw8EoUghT9-UzEw1v94AaABAg,@bobquinones-c8n,http://www.youtube.com/@bobquinones-c8n,"While retail focuses on pumps, I’m looking at project survivability. Cadween’s architecture matters.",1,2026-05-12T20:01:38Z,2026-05-12T20:01:38Z,2026-05-13T10:50:57.452564+00:00
pfizer,2XqdVlIx3i4,Ugyz0kyL0t-LedQN9DV4AaABAg,@BarbaraNagat,http://www.youtube.com/@BarbaraNagat,Man konnte es von Anfang wissen.😮😮😮,0,2026-05-13T05:31:07Z,2026-05-13T05:31:07Z,2026-05-13T10:50:57.452564+00:00
pfizer,2XqdVlIx3i4,Ugz6TeclF-0flFZ9bBB4AaABAg,@esaufelder,http://www.youtube.com/@esaufelder,"You know that feeling when you stumble onto something early, and every piece just fits? That’s how Cadween´s CWN token feels right now. This could be one of those legendary presales.",1,2026-05-12T20:01:15Z,2026-05-12T20:01:15Z,2026-05-13T10:50:57.452564+00:00
pfizer,2XqdVlIx3i4,UgwFXpoZcQd2O-cjW9R4AaABAg,@serenaclose-o3m,http://www.youtube.com/@serenaclose-o3m,The best plays aren’t always trending on Twitter. Sometimes they’re in quiet communities building something real. That’s Cadween right now—and those are the entries you remember for years.,1,2026-05-12T19:59:42Z,2026-05-12T19:59:42Z,2026-05-13T10:50:57.452564+00:00
pfizer,2XqdVlIx3i4,UgzL7o-tdptE8POEj_V4AaABAg,@shreyaarce,http://www.youtube.com/@shreyaarce,Time is running out! Cadween presale is nearly full—act fast before it closes!,1,2026-05-12T20:01:25Z,2026-05-12T20:01:25Z,2026-05-13T10:50:57.452564+00:00
pfizer,2XqdVlIx3i4,UgzcljH3hQoha0AfBN94AaABAg,@ulfkritzel,http://www.youtube.com/@ulfkritzel,Auch schon wach,0,2026-05-13T09:48:09Z,2026-05-13T09:48:09Z,2026-05-13T10:50:57.452564+00:00
pfizer,2XqdVlIx3i4,UgxBdbD5T0f2Gax2vB94AaABAg,@theodorepecou,http://www.youtube.com/@theodorepecou,"Tokenomics on point, a strong development fund, and a clear focus on community growth, Cadween has it all!",0,2026-05-12T20:01:20Z,2026-05-12T20:01:20Z,2026-05-13T10:50:57.452564+00:00
pfizer,2XqdVlIx3i4,UgxIDN4DU9fg52DTob54AaABAg,@ronaldkreutzmann4896,http://www.youtube.com/@ronaldkreutzmann4896,"Krankenhausschließungen während einer Pandemie ? absolut , sogar Lungenklinik",0,2026-05-12T22:48:34Z,2026-05-12T22:48:34Z,2026-05-13T10:50:57.452564+00:00
pfizer,2XqdVlIx3i4,UgwuZTSugqEJqTFdY0p4AaABAg,@ricardastreet,http://www.youtube.com/@ricardastreet,Every cycle has a few projects that come out of nowhere and crush. Cadween CWN has that energy.,0,2026-05-12T20:00:52Z,2026-05-12T20:00:52Z,2026-05-13T10:50:57.452564+00:00
