video_id,title,channel_title,alert_type,alert_priority,alert_reason,alert_score,ravs_score,ravs_speed_of_engagement,ravs_regulatory_relevance,ravs_safety_implications,ravs_influencer_reach,ravs_topic_sensitivity,viral_probability,trend_score,growth_acceleration,sentiment_label,emotion_label,toxicity_label,toxicity_score,pharma_risk_score,narrative_cluster_id,dominant_topic_id,topic_keywords,cluster_volume,narrative_trend_score,view_count,like_count,comment_count,subscriber_count,tracking_timestamp
yjvRN5VymR4,Funny stories by doctor 😂😂 #ivf #funnyshorts #medical #injectionpodcast #awareness #sperm #podcast,Injection,growth_spike,medium,Rapid growth acceleration detected,24.04473010127058,0.3306,99,74,20,35,100,0.9977,118.6696005063529,0.0,neutral,joy,non_toxic,0.0575,0,10,7,"women, video, pregnancy, pharmacy, menopause, health, generic, medicine, ivf, fertility",955,773.6096816709644,0.0,0.0,0.0,0,2026-05-18 20:33:45.564058+00:00
yjvRN5VymR4,Funny stories by doctor 😂😂 #ivf #funnyshorts #medical #injectionpodcast #awareness #sperm #podcast,Injection,viral_emerging,high,High virality probability detected,24.04473010127058,0.3306,99,74,20,35,100,0.9977,118.6696005063529,0.0,neutral,joy,non_toxic,0.0575,0,10,7,"women, video, pregnancy, pharmacy, menopause, health, generic, medicine, ivf, fertility",955,773.6096816709644,0.0,0.0,0.0,0,2026-05-18 20:33:45.564058+00:00
yjvRN5VymR4,Funny stories by doctor 😂😂 #ivf #funnyshorts #medical #injectionpodcast #awareness #sperm #podcast,Injection,emerging_narrative,medium,Narrative cluster accelerating rapidly,24.04473010127058,0.3306,99,74,20,35,100,0.9977,118.6696005063529,0.0,neutral,joy,non_toxic,0.0575,0,10,7,"women, video, pregnancy, pharmacy, menopause, health, generic, medicine, ivf, fertility",955,773.6096816709644,0.0,0.0,0.0,0,2026-05-18 20:33:45.564058+00:00
4Hviv_QHaPk,Painless IVF @ Karimnagar Dr Padmaja Fertility Centre #brahmaivf #ivftreatment  #ivfsuccess,Dr Padmaja Fertility Center Karimnagar,growth_spike,medium,Rapid growth acceleration detected,22.327892529388418,0.318,99,74,20,35,100,0.9963,110.14121264694208,0.0,positive,joy,non_toxic,0.0038,0,10,7,"women, video, pregnancy, pharmacy, menopause, health, generic, medicine, ivf, fertility",955,745.4660017349088,0.0,0.0,0.0,0,2026-05-18 20:33:45.564058+00:00
4Hviv_QHaPk,Painless IVF @ Karimnagar Dr Padmaja Fertility Centre #brahmaivf #ivftreatment  #ivfsuccess,Dr Padmaja Fertility Center Karimnagar,viral_emerging,high,High virality probability detected,22.327892529388418,0.318,99,74,20,35,100,0.9963,110.14121264694208,0.0,positive,joy,non_toxic,0.0038,0,10,7,"women, video, pregnancy, pharmacy, menopause, health, generic, medicine, ivf, fertility",955,745.4660017349088,0.0,0.0,0.0,0,2026-05-18 20:33:45.564058+00:00
vt-ajPxX16s,AVC : Reconnaître les 3 signes qui sauvent – campagne Boehringer Ingelheim 2026,Boehringer Ingelheim France,viral_emerging,high,High virality probability detected,22.280983176119925,0.3171,99,74,20,35,100,0.9955,109.91096588059962,0.0,positive,neutral,non_toxic,0.0007,0,10,2,"05, new, 30, 10, like, episode, ingelheim, boehringer, johnson, 00",955,744.7061874059788,2657998.0,7.0,0.0,0,2026-05-18 16:08:17.805041+00:00
vt-ajPxX16s,AVC : Reconnaître les 3 signes qui sauvent – campagne Boehringer Ingelheim 2026,Boehringer Ingelheim France,growth_spike,medium,Rapid growth acceleration detected,22.280983176119925,0.3171,99,74,20,35,100,0.9955,109.91096588059962,0.0,positive,neutral,non_toxic,0.0007,0,10,2,"05, new, 30, 10, like, episode, ingelheim, boehringer, johnson, 00",955,744.7061874059788,2657998.0,7.0,0.0,0,2026-05-18 09:30:53.077934+00:00
ydn9A7nenGY,టీకా తర్వాత గడ్డ | Vaccine Lump Normal,SthreeVerse Telugu,growth_spike,medium,Rapid growth acceleration detected,21.209136064660843,0.3171,99,74,20,35,100,0.9964,104.54728032330422,0.0,neutral,fear,non_toxic,0.0038,0,2,1,"medicine, hantavirus, mrna, health, fda, pfizer, covid, vaccines, diabetes, vaccine",1076,775.406025066904,215425.0,512.0,1.0,0,2026-05-18 09:30:53.077934+00:00
ydn9A7nenGY,టీకా తర్వాత గడ్డ | Vaccine Lump Normal,SthreeVerse Telugu,emerging_narrative,medium,Narrative cluster accelerating rapidly,21.209136064660843,0.3171,99,74,20,35,100,0.9964,104.54728032330422,0.0,neutral,fear,non_toxic,0.0038,0,2,1,"medicine, hantavirus, mrna, health, fda, pfizer, covid, vaccines, diabetes, vaccine",1076,775.406025066904,215425.0,512.0,1.0,0,2026-05-18 09:30:53.077934+00:00
ydn9A7nenGY,టీకా తర్వాత గడ్డ | Vaccine Lump Normal,SthreeVerse Telugu,viral_emerging,high,High virality probability detected,21.209136064660843,0.3171,99,74,20,35,100,0.9964,104.54728032330422,0.0,neutral,fear,non_toxic,0.0038,0,2,1,"medicine, hantavirus, mrna, health, fda, pfizer, covid, vaccines, diabetes, vaccine",1076,775.406025066904,215425.0,512.0,1.0,0,2026-05-18 16:08:17.805041+00:00
ypcQ5oPB6W0,How caffeine REALLY affects the brain,Doctor Myro,growth_spike,medium,Rapid growth acceleration detected,21.018339883278248,0.3161,99,74,20,35,100,0.9916,103.59769941639124,0.0,neutral,joy,non_toxic,0.0066,0,9,4,"finasteride, video, medical, wegovy, glp, health, ozempic, weight, hair, loss",1883,1095.072408074091,200851.0,11234.0,486.0,0,2026-05-18 16:08:17.805041+00:00
